Date,FirstImpulse,ImpulseMFE,ImpulseMAE
2009-06-24,Up,22.6528601107143,2.6610318892855958
2009-06-25,Up,40.77145471428571,4.328007285714193
2009-06-26,Up,11.55627712857131,4.155793871428614
2009-06-29,Down,9.709415796428402,20.259905203571634
2009-06-30,Up,3.27371752142858,26.986567478571487
2009-07-01,Up,9.61429097857149,11.91706502142847
2009-07-02,Down,23.602398300000004,5.784992699999975
2009-07-03,Down,0.4603465892857912,1.5764034107141924
2009-07-06,Down,12.185167985714315,11.673902014285659
2009-07-07,Down,38.143337467857236,2.591660532142896
2009-07-08,Down,15.858592367857,10.910120632142934
2009-07-09,Up,3.8885301964287464,13.278361803571443
2009-07-10,Up,17.397585171428545,10.244019828571481
2009-07-13,Down,19.170388567857117,34.658002432142894
2009-07-14,Up,8.674892125000042,9.946821874999841
2009-07-15,Down,3.1434536535714415,34.3909373464287
2009-07-16,Up,28.300432053571285,3.7056379464286238
2009-07-17,Down,3.4063603892857373,15.215353610714146
2009-07-20,Down,1.3883152392857028,18.397255760714188
2009-07-21,Down,14.550291685714228,9.599742314285777
2009-07-22,Up,19.084139192857265,3.6110748071428134
2009-07-23,Up,44.86980769642855,2.266404303571335
2009-07-24,Up,14.432867542857139,12.335845457142796
2009-07-27,Up,3.0073236928571987,23.17946030714279
2009-07-28,Up,14.251014160714249,16.591198839285653
2009-07-29,Down,8.970013517857069,11.688450482142798
2009-07-30,Up,15.596724553571448,16.409345446428688
2009-07-31,Up,8.207270992857275,13.033121007142881
2009-08-03,Up,5.0523862285715495,15.31511277142863
2009-08-04,Up,10.69917226071425,8.213505739285665
2009-08-05,Down,27.743443867857195,3.97166213214291
2009-08-06,Up,1.5847161321428302,31.294246867857282
2009-08-07,Up,2.082473328571268,20.61274067142881
2009-08-10,Down,14.15333355000007,10.287665450000077
2009-08-11,Down,12.529129042857221,5.219690957142802
2009-08-12,Up,44.16941566428591,0.9300463357142235
2009-08-13,Down,17.13779592857145,7.594167071428728
2009-08-14,Down,24.69974944642877,3.523784553571204
2009-08-17,Down,19.356398321428514,7.121350678571389
2009-08-18,Up,12.900108671428598,10.667997328571346
2009-08-19,Up,32.63268261428561,5.192673385714215
2009-08-20,Up,23.284415914285546,2.611404085714412
2009-08-21,Down,6.5872228357143285,23.091133164285566
2009-08-24,Up,3.527942057142809,18.876306942857127
2009-08-25,Up,13.714808539285741,10.726190460714179
2009-08-26,Up,9.043793171428433,16.270098828571463
2009-08-27,Down,25.162174721428528,13.245109278571363
2009-08-28,Up,3.9155477785714083,40.31102122142852
2009-08-31,Down,11.281101425000088,5.303862575000039
2009-09-01,Up,28.77324964285731,39.603354357142734
2009-09-02,Up,12.035529403571445,5.422326596428547
2009-09-03,Down,14.20633080357129,11.689490196428778
2009-09-04,Up,32.72412826071445,7.428940739285736
2009-09-08,Up,0.15067775000011352,14.979464249999864
2009-09-09,Down,2.727790710714089,30.151172289285796
2009-09-10,Up,14.640791492857034,10.113369507142806
2009-09-11,Down,8.71494922142847,9.632252778571456
2009-09-14,Up,17.77392169285713,5.524111307142675
2009-09-15,Up,9.374850224999818,9.263576775000047
2009-09-16,Down,2.0877302499998223,28.19971375
2009-09-17,Up,10.867807721428562,10.100423278571498
2009-09-18,Down,11.98756093214297,6.942092067857175
2009-09-21,Up,17.95527309285717,7.67256390714283
2009-09-22,Down,11.652706153571444,4.364692846428625
2009-09-23,Down,15.754625664285868,20.357326335714106
2009-09-24,Down,36.32527178928558,3.281385210714461
2009-09-25,Up,10.387041453571328,13.20221854642864
2009-09-28,Up,30.403430942856858,4.252394057142965
2009-09-29,Up,5.2933798142857995,22.664260185714284
2009-09-30,Up,5.684096389285742,42.36809861071424
2009-10-01,Down,45.66414614285691,4.13540085714294
2009-10-02,Up,19.753405021428534,5.874432978571349
2009-10-05,Down,6.958207639285774,20.12575736071426
2009-10-06,Up,28.4964075464286,4.703290453571526
2009-10-07,Up,3.6486383821429627,10.91263261785707
2009-10-08,Up,9.178801114285761,13.536781885714163
2009-10-12,Up,5.357507442857013,22.600133557142954
2009-10-13,Up,4.603442464285763,13.452533535714338
2009-10-14,Down,6.435041824999871,10.74725817500007
2009-10-15,Up,4.439107978571201,7.792360021428749
2009-10-16,Down,16.12556825714273,8.046141742857117
2009-10-19,Down,5.490639514285704,25.96170648571433
2009-10-20,Down,19.141830907142776,2.4088500928569374
2009-10-21,Up,24.546142071428676,11.274584928571358
2009-10-22,Down,9.191282492857226,24.299640507143067
2009-10-23,Down,26.90922942142879,5.4167925785709485
2009-10-26,Up,24.1852314321427,22.119610567857308
2009-10-27,Up,3.182678432142893,40.50113556785709
2009-10-28,Down,37.58576136071429,9.592756639285653
2009-10-29,Down,1.1461797642855345,29.432489235714456
2009-10-30,Down,47.93778499285713,10.598525007142825
2009-11-02,Down,11.548128757142877,32.13568524285711
2009-11-03,Down,0.6261349428571066,22.089448057142818
2009-11-04,Up,11.25482213928558,16.994043860714328
2009-11-05,Up,22.2090593357143,3.7100036642857503
2009-11-06,Up,16.46047653214282,5.672655467857112
2009-11-09,Up,21.05039787142846,3.121313128571501
2009-11-10,Up,8.089826067856848,8.510022932142874
2009-11-11,Up,3.335571221428836,22.001040778571223
2009-11-12,Up,5.170291839286165,23.952251160713786
2009-11-13,Down,0.5918119214288708,23.288673078571264
2009-11-16,Up,16.82762898214287,0.9371220178572912
2009-11-17,Up,5.913956332142789,10.394667667856993
2009-11-18,Down,14.142114196428793,5.952439803571451
2009-11-19,Down,29.717474453571413,2.0260975464289004
2009-11-20,Up,0.7135027928570707,12.100416207143098
2009-11-23,Up,19.29160394642804,1.0941750535716892
2009-11-24,Down,14.469742792857232,3.8774582071428085
2009-11-25,Down,1.4675677821428508,9.016547217857351
2009-11-26,Down,27.839070285714342,2.1571487142855403
2009-11-27,Up,35.183151399999815,4.132280600000058
2009-11-30,Down,8.463219339285615,15.41726566071452
2009-12-01,Up,15.070915442856858,5.897315557142974
2009-12-02,Up,10.264656639285931,13.61582836071375
2009-12-03,Up,6.826115546428355,20.25784845357157
2009-12-04,Up,8.76172455714277,41.91149944285689
2009-12-07,Up,3.8899390321430474,18.243192967856885
2009-12-08,Down,9.96198921785708,20.61667978214291
2009-12-09,Down,7.857885496428025,29.710193503571645
2009-12-10,Up,8.236479135714035,6.324791864285999
2009-12-11,Down,21.618583599999965,7.823745400000007
2009-12-14,Down,6.590857571428842,12.64868442857096
2009-12-15,Down,5.948279675000322,17.955393324999477
2009-12-16,Up,5.578515417857034,13.661025582142884
2009-12-17,Down,15.30906935357143,6.845554646428354
2009-12-18,Down,1.9666672428575112,19.02192375714276
2009-12-21,Up,17.14040979642823,5.014213203571671
2009-12-22,Up,5.222524132143008,6.437803867856928
2009-12-23,Up,7.0400373428569765,10.158946657143133
2009-12-24,Up,13.909891728571438,1.540043271428658
2009-12-28,Up,5.777326667856869,10.838640332143314
2009-12-29,Down,6.667225800000324,2.078020199999628
2009-12-30,Up,8.637667703571424,5.646234296428702
2009-12-31,Down,19.05553635357137,1.641546646428651
2010-01-04,Up,4.1758554964285395,5.1524075035713395
2010-01-05,Down,6.28512513928581,9.747825860713874
2010-01-06,Up,4.05925241428622,18.678387585714063
2010-01-07,Down,10.193417625000166,5.839534374999857
2010-01-08,Up,20.443054146428494,8.707766853571684
2010-01-11,Down,19.29263766785698,2.5704783321430114
2010-01-12,Down,22.76262594642867,4.056128053571683
2010-01-13,Up,23.599671325000145,18.669018674999734
2010-01-14,Up,8.175764632143,5.816629367857331
2010-01-15,Up,0.5871807214284672,41.973017278571206
2010-01-18,Up,5.296079850000297,1.1171001499997146
2010-01-19,Up,29.519370571429135,3.4210564285708642
2010-01-20,Down,35.89611184642854,5.206545153571369
2010-01-21,Up,10.175718089285965,40.25520091071394
2010-01-22,Down,56.8118253749999,10.818077625000114
2010-01-25,Up,3.595961564285517,18.558662435714268
2010-01-26,Down,5.154490135713786,34.4906258642859
2010-01-27,Up,20.95007016428599,18.40353783571436
2010-01-28,Down,44.90788020357104,2.60795679642888
2010-01-29,Down,53.237727003571536,10.894078996428561
2010-02-01,Up,10.280870625000261,8.084146375000046
2010-02-02,Down,6.064411732142844,29.208080267857213
2010-02-03,Up,18.09120699642881,5.812466003570989
2010-02-04,Down,36.62280091071398,3.896840089285888
2010-02-05,Down,23.509096107142796,19.051101892857105
2010-02-08,Down,6.928525314285707,18.724196685714105
2010-02-09,Down,11.780054442857363,23.7839465571426
2010-02-10,Up,2.6048342392855375,23.92241276071445
2010-02-11,Down,4.315361721428644,44.65801627857127
2010-02-12,Up,22.319117182142236,7.414719817857531
2010-02-15,Down,0.16449318214245068,4.499637817857547
2010-02-16,Down,4.611034539285811,19.584146460714237
2010-02-17,Down,5.312737024999933,9.26267397499987
2010-02-18,Up,12.86800511071442,7.537569889285351
2010-02-19,Down,1.967680442857727,19.020910557142543
2010-02-22,Down,15.28023506785712,2.2102569321427836
2010-02-23,Down,30.2408531214287,7.363705878571636
2010-02-24,Up,13.428117082142762,9.018014917857272
2010-02-25,Down,8.937850114285993,32.45631588571405
2010-02-26,Down,5.458491925000089,16.4046240749999
2010-03-01,Up,20.964645357142672,4.1050596428572135
2010-03-02,Up,9.394893132142897,8.970123867857183
2010-03-03,Up,2.4861485857140906,15.58736041428574
2010-03-04,Down,7.189841610714211,11.758191389285912
2010-03-05,Down,0.939072328571001,23.54761667142884
2010-03-08,Up,3.855195224999534,4.890050775000418
2010-03-09,Up,27.04363264285712,0.9411543571427501
2010-03-10,Up,18.11098852499981,1.711569475000033
2010-03-11,Up,9.079682024999784,5.810590975000196
2010-03-12,Down,11.266773485714111,3.9154655142860975
2010-03-15,Up,2.007872635714193,19.889587364285944
2010-03-16,Down,3.1800918428571094,14.62984215714323
2010-03-17,Up,10.867730017857411,6.6502379821426985
2010-03-18,Down,2.3457921714284566,10.792682828571742
2010-03-19,Down,26.054117167857385,3.72642783214269
2010-03-22,Up,34.82820742142849,0.4996935785716232
2010-03-23,Down,7.772986903571564,16.460202096428475
2010-03-24,Down,7.113673699999708,4.856938299999911
2010-03-25,Down,17.341549503571514,13.314894496428224
2010-03-26,Up,5.693547764285995,22.043234235714408
2010-03-29,Up,4.956107853571211,9.350233146428764
2010-03-30,Up,5.733380392857271,17.33194460714276
2010-03-31,Up,6.335664592857029,11.182302407143197
2010-04-01,Up,12.498236685714346,30.12881931428592
2010-04-05,Down,1.517180792857289,25.927635207142885
2010-04-06,Down,0.24921412142884947,23.692008878571414
2010-04-07,Down,11.29387578571459,12.35538021428556
2010-04-08,Down,8.296009574999971,18.856840424999973
2010-04-09,Down,2.491096864285737,17.070634135714045
2010-04-12,Up,3.2940044500001022,8.676607549999972
2010-04-13,Up,12.14683371785668,10.91849128214335
2010-04-14,Up,12.885091539285895,6.676639460714341
2010-04-15,Up,10.966455889285953,2.463986110714359
2010-04-16,Up,4.59012501785719,39.20479498214263
2010-04-19,Up,10.154164660714741,25.757669339285258
2010-04-20,Down,12.060286492856903,9.253241507142775
2010-04-21,Up,0.4421210464283831,21.4553389535713
2010-04-22,Down,9.966472157142562,42.003498842857425
2010-04-23,Up,8.413838507142827,13.775587492857085
2010-04-26,Up,1.689232875000016,14.95283712499986
2010-04-27,Up,5.544228842857137,52.265065157142544
2010-04-28,Down,24.416710353571034,3.612038646428573
2010-04-29,Up,28.96304100357156,3.445199996428528
2010-04-30,Down,41.248558071428306,2.8383279285717435
2010-05-03,Up,30.00786187857102,3.860210121428736
2010-05-04,Down,52.63106686071433,6.346092139285702
2010-05-05,Down,9.59212992142875,30.991162078571506
2010-05-06,Up,14.920512314286043,255.73209168571407
2010-05-07,Down,73.79026944285715,36.57292855714286
2010-05-10,Up,8.355445746428359,15.293811253571675
2010-05-11,Up,40.00665927499995,6.123989725000229
2010-05-12,Up,21.846365914285798,3.8466540857143627
2010-05-13,Up,6.18759660714295,44.030578392857024
2010-05-14,Down,41.86481496428587,3.0979690357144136
2010-05-17,Down,34.210088785714106,18.34381521428577
2010-05-18,Down,47.0941362821427,10.131224717857549
2010-05-19,Up,5.048928682143014,46.62907731785708
2010-05-20,Down,31.55528150714281,17.203062492857043
2010-05-21,Up,59.43491908571423,6.549426914285959
2010-05-24,Up,11.472183275000134,17.140497724999932
2010-05-25,Down,9.248027189285494,64.3274378107144
2010-05-26,Up,16.307350739285994,52.01272326071421
2010-05-27,Up,15.741145178571514,8.784009821428299
2010-05-28,Down,23.234248117857078,13.553484882143039
2010-06-01,Up,28.146577582143436,20.903732417856645
2010-06-02,Down,4.56614217142851,47.987761828571365
2010-06-03,Up,9.438848132142994,23.5533248678571
2010-06-04,Up,18.10502787857149,46.71145312142835
2010-06-07,Down,43.990953814285604,14.986204185714541
2010-06-08,Down,26.827515989285985,9.376284010714244
2010-06-09,Down,27.075688078571147,31.025572921429102
2010-06-10,Up,24.295752857142816,10.156251142856945
2010-06-11,Up,33.806629864285696,4.74878113571458
2010-06-14,Up,6.676787464285553,32.170709535714195
2010-06-15,Up,41.42944702142859,1.215173978571329
2010-06-16,Up,18.538906742857307,10.96182425714278
2010-06-17,Down,16.004603971428423,8.530658028571452
2010-06-18,Down,2.734290528571364,20.04845247142839
2010-06-21,Down,52.63404854999999,11.624970450000092
